"time","guessed_miner","transaction_count"
"2016-03-01 16:59:28","21 Inc.",2782
"2016-03-01 15:52:33","21 Inc.",2643
"2016-02-29 12:18:09","21 Inc.",2915
"2016-02-26 20:38:24","21 Inc.",1247
"2016-02-26 09:34:08","21 Inc.",1510
"2016-02-24 18:26:25","21 Inc.",2157
"2016-02-24 04:53:06","21 Inc.",2118
"2016-02-24 02:33:54","21 Inc.",809
"2016-02-23 21:26:40","21 Inc.",1124
"2016-02-23 07:09:05","21 Inc.",1570
"2016-02-23 04:46:24","21 Inc.",2474
"2016-02-22 08:12:00","21 Inc.",2827
"2016-02-20 04:51:29","21 Inc.",1264
"2016-02-20 03:30:25","21 Inc.",1848
"2016-02-19 20:51:12","21 Inc.",2763
"2016-02-19 18:18:11","21 Inc.",1665
"2016-02-19 10:08:33","21 Inc.",2344
"2016-02-19 06:02:09","21 Inc.",564
"2016-02-18 17:09:20","21 Inc.",1871
"2016-02-18 15:41:06","21 Inc.",2674
"2016-02-18 12:06:24","21 Inc.",1412
"2016-02-18 11:45:54","21 Inc.",334
"2016-02-17 16:01:06","21 Inc.",885
"2016-02-16 19:43:14","21 Inc.",1835
"2016-02-16 15:28:01","21 Inc.",1750
"2016-02-14 21:54:56","21 Inc.",953
"2016-02-13 20:31:44","21 Inc.",849
"2016-02-13 19:22:42","21 Inc.",656
"2016-02-13 07:28:02","21 Inc.",2363
"2016-02-13 01:53:52","21 Inc.",356
"2016-02-12 10:50:09","21 Inc.",2508
"2016-02-12 05:47:29","21 Inc.",1644
"2016-02-07 04:04:33","21 Inc.",2892
"2016-02-06 23:53:37","21 Inc.",750
"2016-02-06 22:58:40","21 Inc.",138
"2016-02-06 20:23:28","21 Inc.",1157
"2016-02-06 04:33:38","21 Inc.",1888
"2016-02-05 20:11:44","21 Inc.",2144
"2016-02-05 13:36:48","21 Inc.",1697
"2016-02-05 11:33:54","21 Inc.",391
"2016-02-04 20:01:22","21 Inc.",707
"2016-02-04 06:31:45","21 Inc.",696
"2016-02-03 18:45:05","21 Inc.",178
"2016-02-03 11:11:12","21 Inc.",2938
"2016-02-02 20:21:22","21 Inc.",461
"2016-02-01 11:00:50","21 Inc.",2813
"2016-02-01 07:28:50","21 Inc.",2962
"2016-02-01 00:16:32","21 Inc.",1643
"2016-01-31 21:34:41","21 Inc.",823
"2016-01-30 22:28:48","21 Inc.",206
"2016-01-30 17:25:20","21 Inc.",1659
"2016-01-30 16:38:26","21 Inc.",2530
"2016-01-30 06:34:56","21 Inc.",2221
"2016-01-29 10:04:02","21 Inc.",2936
"2016-01-29 02:13:04","21 Inc.",2466
"2016-01-28 05:03:13","21 Inc.",2822
"2016-01-27 00:05:36","21 Inc.",1773
"2016-01-26 11:57:53","21 Inc.",491
"2016-01-26 07:48:18","21 Inc.",1399
"2016-01-26 02:46:40","21 Inc.",469
"2016-01-25 14:01:53","21 Inc.",2020
"2016-01-25 05:26:56","21 Inc.",632
"2016-01-24 23:47:28","21 Inc.",1022
"2016-01-24 21:54:41","21 Inc.",1632
"2016-01-24 16:58:57","21 Inc.",511
"2016-01-24 10:12:49","21 Inc.",824
"2016-01-24 08:17:53","21 Inc.",2835
"2016-01-24 06:43:13","21 Inc.",1867
"2016-01-24 06:01:37","21 Inc.",2092
"2016-01-24 00:06:56","21 Inc.",1808
"2016-01-23 13:11:28","21 Inc.",744
"2016-01-22 23:13:04","21 Inc.",986
"2016-01-22 20:09:53","21 Inc.",1191
"2016-01-22 19:57:52","21 Inc.",166
"2016-01-22 18:01:52","21 Inc.",822
"2016-01-22 07:21:06","21 Inc.",953
"2016-01-22 04:39:13","21 Inc.",2004
"2016-01-21 14:56:32","21 Inc.",1803
"2016-01-21 13:31:12","21 Inc.",1700
"2016-01-21 13:18:09","21 Inc.",2212
"2016-01-20 04:26:42","21 Inc.",1381
"2016-01-20 03:10:43","21 Inc.",1645
"2016-01-19 23:59:44","21 Inc.",2536
"2016-01-15 07:52:17","21 Inc.",2005
"2016-01-14 16:48:01","21 Inc.",2120
"2016-01-14 16:33:38","21 Inc.",959
"2016-01-14 16:21:05","21 Inc.",2252
"2016-01-14 09:44:33","21 Inc.",505
"2016-01-13 20:17:36","21 Inc.",2064
"2016-01-13 10:47:44","21 Inc.",375
"2016-01-12 01:26:58","21 Inc.",752
"2016-01-11 14:21:20","21 Inc.",1729
"2016-01-10 18:19:45","21 Inc.",388
"2016-01-10 13:09:20","21 Inc.",251
"2016-01-10 03:33:37","21 Inc.",545
"2016-01-10 02:13:54","21 Inc.",298
"2016-01-09 23:44:32","21 Inc.",382
"2016-01-09 20:53:37","21 Inc.",1238
"2016-01-09 13:40:17","21 Inc.",1438
"2016-01-08 03:10:24","21 Inc.",2188
"2016-01-08 02:01:05","21 Inc.",1242
"2016-01-08 01:31:13","21 Inc.",615
"2016-01-06 21:26:09","21 Inc.",675
"2016-01-06 18:38:58","21 Inc.",693
"2016-01-06 16:03:46","21 Inc.",763
"2016-01-05 23:57:06","21 Inc.",654
"2016-01-05 16:50:10","21 Inc.",201
"2016-01-05 12:54:25","21 Inc.",187
"2016-01-05 02:54:57","21 Inc.",1683
"2016-01-04 05:22:41","21 Inc.",296
"2016-01-04 03:58:42","21 Inc.",1204
"2016-01-03 17:26:41","21 Inc.",1939
"2016-01-03 13:31:13","21 Inc.",920
"2016-01-03 04:16:00","21 Inc.",2003
"2016-01-03 01:44:32","21 Inc.",2133
"2016-01-02 19:00:00","21 Inc.",958
"2016-01-02 10:47:28","21 Inc.",1631
"2016-01-02 10:22:40","21 Inc.",804
"2016-01-01 10:44:50","21 Inc.",2011
"2016-01-01 08:01:23","21 Inc.",2162
"2015-12-31 18:09:38","21 Inc.",730
"2015-12-31 07:43:29","21 Inc.",1518
"2015-12-31 02:51:13","21 Inc.",955
"2015-12-30 22:11:29","21 Inc.",619
"2015-12-30 18:00:50","21 Inc.",449
"2015-12-30 16:58:09","21 Inc.",479
"2015-12-30 09:18:09","21 Inc.",1521
"2015-12-30 05:19:28","21 Inc.",1260
"2015-12-30 02:53:53","21 Inc.",242
"2015-12-30 02:07:46","21 Inc.",387
"2015-12-30 01:16:48","21 Inc.",1859
"2015-12-29 23:02:24","21 Inc.",603
"2015-12-29 22:17:21","21 Inc.",702
"2015-12-29 15:13:52","21 Inc.",969
"2015-12-29 10:01:52","21 Inc.",2872
"2015-12-29 08:19:29","21 Inc.",1146
"2015-12-29 05:38:42","21 Inc.",1118
"2015-12-29 04:40:33","21 Inc.",578
"2015-12-29 00:38:08","21 Inc.",1521
"2015-12-28 08:34:09","21 Inc.",1450
"2015-12-28 04:11:46","21 Inc.",482
"2015-12-27 18:13:21","21 Inc.",106
"2015-12-27 09:10:08","21 Inc.",1657
"2015-12-26 08:38:56","21 Inc.",288
"2015-12-25 23:25:21","21 Inc.",402
"2015-12-25 22:30:10","21 Inc.",131
"2015-12-25 19:12:48","21 Inc.",367
"2015-12-25 18:51:28","21 Inc.",316
"2015-12-25 00:48:32","21 Inc.",3390
"2015-12-24 23:18:08","21 Inc.",198
"2015-12-24 18:04:16","21 Inc.",1782
"2015-12-24 14:47:28","21 Inc.",1814
"2015-12-24 13:08:34","21 Inc.",750
"2015-12-24 12:48:01","21 Inc.",1490
"2015-12-24 10:55:46","21 Inc.",680
"2015-12-24 10:51:12","21 Inc.",2272
"2015-12-24 03:08:16","21 Inc.",2692
"2015-12-24 00:15:46","21 Inc.",1258
"2015-12-23 04:48:50","21 Inc.",429
"2015-12-23 01:06:40","21 Inc.",745
"2015-12-22 20:09:20","21 Inc.",2903
"2015-12-22 15:20:34","21 Inc.",632
"2015-12-21 18:16:49","21 Inc.",2102
"2015-12-21 16:08:02","21 Inc.",2578
"2015-12-21 12:21:06","21 Inc.",699
"2015-12-21 10:07:29","21 Inc.",1256
"2015-12-21 07:29:53","21 Inc.",1916
"2015-12-20 20:22:58","21 Inc.",2007
"2015-12-20 14:14:40","21 Inc.",1613
"2015-12-20 07:08:48","21 Inc.",565
"2015-12-20 02:40:00","21 Inc.",1333
"2015-12-20 01:19:29","21 Inc.",2367
"2015-12-19 17:15:15","21 Inc.",1866
"2015-12-19 06:43:28","21 Inc.",174
"2015-12-18 21:10:24","21 Inc.",175
"2015-12-18 10:35:12","21 Inc.",990
"2015-12-17 19:21:37","21 Inc.",2868
"2015-12-17 12:05:22","21 Inc.",2810
"2015-12-17 04:22:57","21 Inc.",3231
"2015-12-16 21:01:37","21 Inc.",793
"2015-12-16 08:23:12","21 Inc.",1846
"2015-12-16 06:33:52","21 Inc.",2153
"2015-12-16 02:30:24","21 Inc.",1211
"2015-12-15 22:44:50","21 Inc.",2372
"2015-12-15 10:37:06","21 Inc.",1493
"2015-12-15 02:34:58","21 Inc.",3047
"2015-12-15 02:04:49","21 Inc.",1716
"2015-12-14 18:55:44","21 Inc.",1753
"2015-12-14 11:06:10","21 Inc.",1095
"2015-12-14 08:01:37","21 Inc.",1332
"2015-12-14 03:22:42","21 Inc.",565
"2015-12-13 23:39:45","21 Inc.",1302
"2015-12-13 15:46:09","21 Inc.",1511
"2015-12-13 14:54:58","21 Inc.",2630
"2015-12-13 08:38:10","21 Inc.",1125
"2015-12-13 07:38:09","21 Inc.",1540
"2015-12-13 02:49:36","21 Inc.",2933
"2015-12-12 17:20:34","21 Inc.",1199
"2015-12-12 16:01:37","21 Inc.",1494
"2015-12-12 14:02:25","21 Inc.",1567
"2015-12-11 12:12:17","21 Inc.",1885
"2015-12-11 08:50:41","21 Inc.",3174
"2015-12-11 02:34:40","21 Inc.",1321
"2015-12-10 20:16:48","21 Inc.",136
"2015-12-10 16:54:42","21 Inc.",545
"2015-12-10 16:49:36","21 Inc.",2560
"2015-12-10 14:38:40","21 Inc.",602
"2015-12-10 14:33:06","21 Inc.",1322
"2015-12-10 13:09:53","21 Inc.",294
"2015-12-10 08:56:33","21 Inc.",1370
"2015-12-10 08:06:40","21 Inc.",2598
"2015-12-09 21:38:26","21 Inc.",1134
"2015-12-09 21:32:18","21 Inc.",1295
"2015-12-09 20:23:28","21 Inc.",954
"2015-12-09 15:31:45","21 Inc.",738
"2015-12-08 19:41:54","21 Inc.",659
"2015-12-08 16:38:08","21 Inc.",987
"2015-12-08 13:47:29","21 Inc.",823
"2015-12-08 13:28:01","21 Inc.",3410
"2015-12-08 11:43:28","21 Inc.",1685
"2015-12-08 08:44:49","21 Inc.",457
"2015-12-08 01:54:56","21 Inc.",868
"2015-12-07 17:12:48","21 Inc.",861
"2015-12-07 15:11:12","21 Inc.",2855
"2015-12-07 14:12:34","21 Inc.",1973
"2015-12-07 12:58:10","21 Inc.",2020
"2015-12-07 00:59:46","21 Inc.",2477
"2015-12-06 17:30:25","21 Inc.",429
"2015-12-06 07:55:44","21 Inc.",715
"2015-12-06 02:49:38","21 Inc.",2538
"2015-12-05 21:00:50","21 Inc.",1547
"2015-12-05 15:29:04","21 Inc.",1047
"2015-12-05 08:38:26","21 Inc.",666
"2015-12-05 00:21:36","21 Inc.",1315
"2015-12-04 22:24:16","21 Inc.",911
"2015-12-04 14:51:45","21 Inc.",2867
"2015-12-04 10:20:17","21 Inc.",920
"2015-12-04 10:08:33","21 Inc.",778
"2015-12-04 08:34:40","21 Inc.",308
"2015-12-04 06:07:14","21 Inc.",650
"2015-12-04 04:37:37","21 Inc.",446
"2015-12-03 20:16:33","21 Inc.",1974
"2015-12-03 14:56:16","21 Inc.",2282
"2015-12-03 04:09:53","21 Inc.",780
"2015-12-02 15:57:54","21 Inc.",773
"2015-12-02 15:04:02","21 Inc.",2342
"2015-12-02 10:43:46","21 Inc.",1039
"2015-12-02 05:40:17","21 Inc.",452
"2015-12-02 03:42:08","21 Inc.",205
"2015-12-01 17:01:04","21 Inc.",836
"2015-12-01 08:16:00","21 Inc.",1500
"2015-12-01 07:17:54","21 Inc.",1413
"2015-12-01 01:23:45","21 Inc.",611
"2015-11-30 13:25:54","21 Inc.",1342
"2015-11-30 01:55:12","21 Inc.",1406
"2015-11-30 00:07:46","21 Inc.",1663
"2015-11-29 11:27:13","21 Inc.",1578
"2015-11-29 10:22:57","21 Inc.",770
"2015-11-29 05:58:09","21 Inc.",567
"2015-11-29 04:01:52","21 Inc.",469
"2015-11-29 01:27:29","21 Inc.",565
"2015-11-29 00:45:04","21 Inc.",1852
"2015-11-28 22:11:14","21 Inc.",2044
"2015-11-28 19:19:30","21 Inc.",949
"2015-11-28 16:40:33","21 Inc.",1465
"2015-11-28 12:17:04","21 Inc.",1000
"2015-11-28 06:19:45","21 Inc.",856
"2015-11-28 01:30:10","21 Inc.",1634
"2015-11-27 18:21:37","21 Inc.",1164
"2015-11-27 08:34:26","21 Inc.",1167
"2015-11-27 02:38:41","21 Inc.",698
"2015-11-26 23:04:32","21 Inc.",1973
"2015-11-26 21:31:45","21 Inc.",374
"2015-11-26 21:21:37","21 Inc.",172
"2015-11-26 14:57:04","21 Inc.",1256
"2015-11-26 12:45:38","21 Inc.",1759
"2015-11-26 11:58:24","21 Inc.",672
"2015-11-26 07:12:50","21 Inc.",2116
"2015-11-26 03:57:21","21 Inc.",2260
"2015-11-25 09:56:50","21 Inc.",1429
"2015-11-25 05:13:53","21 Inc.",1089
"2015-11-25 02:10:25","21 Inc.",300
"2015-11-25 01:16:18","21 Inc.",247
"2015-11-25 00:47:46","21 Inc.",933
"2015-11-24 12:23:15","21 Inc.",669
"2015-11-24 04:14:56","21 Inc.",238
"2015-11-24 02:02:26","21 Inc.",2762
"2015-11-23 22:26:10","21 Inc.",1722
"2015-11-23 17:49:20","21 Inc.",1684
"2015-11-23 15:55:13","21 Inc.",1256
"2015-11-23 09:37:20","21 Inc.",1074
"2015-11-23 06:50:57","21 Inc.",384
"2015-11-23 06:16:16","21 Inc.",1676
